Protein Complex (201),Description,read only,Read and write,write only
MG_469_1MER_ADP,DnaA-ADP,,,
MG_469_1MER_ATP,DnaA-ATP,,,
MG_469_2MER_1ATP_ADP,DnaA 2mer-(1)ATP-(1)ADP,,,
MG_469_2MER_ATP,DnaA-ATP 2mer,,,
MG_469_3MER_2ATP_ADP,DnaA 3mer-(2)ATP-(1)ADP,,,
MG_469_3MER_ATP,DnaA-ATP 3mer,,,
MG_469_4MER_3ATP_ADP,DnaA 4mer-(3)ATP-(1)ADP,,,
MG_469_4MER_ATP,DnaA-ATP 4mer,,,
MG_469_5MER_4ATP_ADP,DnaA 5mer-(4)ATP-(1)ADP,,,
MG_469_5MER_ATP,DnaA-ATP 5mer,,,
MG_469_6MER_5ATP_ADP,DnaA 6mer-(5)ATP-(1)ADP,,,
MG_469_6MER_ATP,DnaA-ATP 6mer,,,
MG_469_7MER_6ATP_ADP,DnaA 7mer-(6)ATP-(1)ADP,,,
MG_469_7MER_ATP,DnaA-ATP 7mer,,,
